feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,Class
31.5,0.5031253866,385.72946297444,862.51730013563,19596.0028182905,31277209.6,32,6,5.418,163866.7,0.403013969911326,1.87569799262351,4.83255507472989,74.1528880288587,2251.92560518926,2.35150754634937,325.689642241595,8.68438060705187,10815180.4213692,9.49527625410819,2.30202986637488,0
28.35,1.3233546,1014.57185999287,2268.65164700242,43889.2713302391,45271741.2,78,2,5.8282,163866.7,0.301960993559555,1.6414126268687,24.1540704640936,220.822250259466,1843.47105748176,2.40611708235827,442.93736797004,7.05228220791325,10816019.0489553,1364.95267291941,2.81208645992062,0
29.4,0.9586856601,734.99233945899,1643.49283397187,27474.2364451859,49809995.2,86,2,7.1288,163866.7,0.24265680589032,1.25577324534431,6.27740352675329,561.305017417239,1233.60609830052,1.99720777348373,167.05664327282,5.14963406094085,10814289.5831767,726.345136739243,4.20231385621533,1
28.95,1.1007184125,843.88411632222,1886.98224922906,74636.4799803749,26022382.4,60,2,4.2616,163866.7,0.689017128223347,2.52781171335735,13.9606349673214,236.308992130396,3523.11444864853,1.65082290645411,954.294526740458,14.0894070265878,10812643.0085392,713.193040883926,1.47142537534896,0
30.9,0.6048897582,463.74881471844,1036.97387419514,41335.5553682184,43654998.8,30,6,5.187,163866.7,0.603021527233827,1.83700084933408,25.3743304992741,616.578267868865,2182.59775538807,1.53142456244149,303.404781067003,9.71768129319687,10813672.8824348,687.947097692004,2.37515134760976,1
35.1,0.1666004736,127.72702966363,285.60632089202,37338.6556778946,41122608.8,32,8,7.105,163866.7,0.190053016343468,1.24667286484819,22.282407634071,598.028927629378,1220.22081373996,2.1204517456295,820.661798689561,4.89590245058027,10814475.7222713,584.540957411681,4.24841138720714,0
35.55,0.1451029464,111.24559229037,248.75270655825,12717.150475532,17249696.8,30,8,5.1254,163866.7,0.439246900230956,2.05266650914509,4.35772039272511,711.878876156426,2578.02582405005,2.41718212636995,550.861807183765,9.74916990463341,10815834.3939957,1559.23454544932,2.01084098989202,0
33.45,0.2764879647,211.97410615569,473.98851083383,65072.3206304436,30502052.0,98,2,7.1694,163866.7,0.341904800777934,1.2330853016686,11.0719991818291,34.941919579682,1200.32637792243,1.70412378624473,719.183211111171,5.46045418405673,10814885.4970105,259.050170857956,4.31882535895999,0
34.2,0.2196221967,168.37701754981,376.5024570902,42638.297132337,15494893.4,14,9,7.0196,163866.7,0.331335965403401,1.27466736611094,3.81177983995713,497.894411888719,1261.55145660701,1.78988086996396,781.410180097778,5.60013467781741,10815702.3120629,1410.78153908014,4.10922596367378,0
35.1,0.1666004736,127.72702966363,285.60632089202,25836.7803802076,6409606.7,30,3,9.744,163866.7,0.301181906292772,0.838919366243091,9.31301272015831,613.428910696104,673.581264275226,1.23112926781335,81.365098900169,3.60223611064056,10814820.5956374,556.229992391602,7.69617605913963,0
33.0,0.3174506577,243.37883764613,544.21162526174,41067.8016647311,32543523.6,36,4,8.2222,163866.7,0.25174729182689,1.02800301819203,21.2901472806842,319.695495636572,913.69501021537,1.61533268898187,646.732667479682,4.24643998023876,10814404.7383415,856.918716666251,5.67366565652806,0
29.25,1.0038671235,769.63146124627,1720.94826496905,43345.6934702934,39351491.2,96,2,9.0454,163866.7,0.300201181549449,0.916603355492489,12.8077950966541,754.42942470818,769.27537876608,1.34701968483905,814.570462608635,3.93283692721763,10815538.4881565,1370.79891608293,6.73880920030893,1
31.5,0.5031253866,385.72946297444,862.51730013563,54180.0615781846,26580008.0,36,3,4.8622,163866.7,0.552084763080827,2.16842380953839,5.03795141571715,56.4304679424918,2799.14837261072,2.03966713522019,357.240222748697,11.1064059304645,10814725.2433917,167.295408343836,1.85199185964014,1
31.65,0.480481014,368.36877735078,823.69762694462,39659.7808275752,48952523.2,24,3,5.3172,163866.7,0.32461473310025,1.89080178781928,25.7654920350331,795.492316055917,2279.18026089022,2.68174130725378,686.482481133667,8.26512688820843,10814814.2070561,167.138393264188,2.27450197290459,0
30.75,0.6333973344,485.60462301631,1085.84494725265,19797.9574689208,35444144.4,12,9,4.4534,163866.7,0.52934917204073,2.5685532743597,15.813687460253,300.67428950087,3608.63149646215,2.53867262299326,734.424572504,12.9631089174989,10812218.0440143,811.914047464544,1.43655565969601,0
32.25,0.3996467001,306.39580340563,685.12184443586,43187.8933490361,15896871.2,60,2,9.2722,163866.7,0.551388806833007,0.876125366796483,2.26553467581188,6.01146944756555,718.884385768439,0.825383256941123,710.54462415029,4.48539658852074,10814763.3892416,599.306911516991,7.21117345518453,1
48.15,0.0030316302,2.32424985542,5.19718067353,60718.7056759232,59878.12578125,24,11,4.4842,163650.766666667,0.682383288394509,2.33550232693373,5.81179698520099,480.565796096117,3128.81672939646,1.55776859495809,313.246731493185,12.9663932799713,10800766.455798,57.7841852743447,1.65685639279996,0
